Count,Date,Hour,Month,Game.Day
10,2019-12-07,20,12,0
13,2019-12-07,21,12,0
18,2019-12-07,22,12,0
26,2019-12-07,23,12,0
13,2019-12-14,12,12,0
17,2019-12-14,13,12,0
15,2019-12-14,14,12,0
17,2019-12-14,15,12,0
15,2019-12-14,16,12,0
15,2019-12-14,17,12,0
13,2019-12-14,18,12,0
14,2019-12-14,19,12,0
9,2019-12-14,20,12,0
14,2019-12-14,21,12,0
7,2019-12-14,22,12,0
7,2019-12-14,23,12,0
10,2019-12-21,12,12,0
14,2019-12-21,13,12,0
14,2019-12-21,14,12,0
10,2019-12-21,15,12,0
13,2019-12-21,16,12,0
12,2019-12-21,17,12,0
9,2019-12-21,18,12,0
17,2019-12-21,19,12,0
10,2019-12-21,20,12,0
15,2019-12-21,21,12,0
6,2019-12-21,22,12,0
8,2019-12-21,23,12,0
14,2019-12-28,12,12,0
7,2019-12-28,13,12,0
7,2019-12-28,14,12,0
15,2019-12-28,15,12,0
16,2019-12-28,16,12,0
9,2019-12-28,17,12,0
17,2019-12-28,18,12,0
5,2019-12-28,19,12,0
10,2019-12-28,20,12,0
12,2019-12-28,21,12,0
9,2019-12-28,22,12,0
5,2019-12-28,23,12,0
